customer_id,revenue,number_of_orders,recency_days,ClustID
1826,1001,11,244,0
36514,1053,10,236,0
13605,1247,11,270,0
30663,758,8,302,0
36645,869,9,284,0
35020,921,7,290,0
33386,1004,11,426,0
3937,1082,10,237,0
17721,1017,11,320,0
33065,710,9,376,0
374,1194,11,268,0
843,1062,9,308,0
9611,839,8,353,0
17988,991,9,282,0
11587,1177,9,244,0
35625,1044,11,279,0
16972,901,8,406,0
15522,1324,11,402,0
38299,938,9,449,0
4873,627,10,253,0
21582,1226,12,481,0
5641,868,10,433,0
21851,1010,11,265,0
25088,962,11,285,0
33663,1036,10,481,0
23259,841,9,339,0
24420,695,9,276,0
3345,1132,12,285,0
5663,1101,11,414,0
10580,1106,12,249,0
13376,1104,9,259,0
30001,1053,14,248,0
34915,1328,10,251,0
1176,871,9,405,0
24222,1052,8,231,0
32596,865,9,428,0
38376,1052,13,478,0
22011,1082,9,278,0
25659,740,9,347,0
23764,771,9,457,0
6633,944,10,392,0
27833,703,10,482,0
30784,978,8,444,0
18876,916,9,241,0
16934,791,11,447,0
34621,917,10,228,0
32749,1140,13,412,0
4559,1100,11,391,0
10510,984,13,257,0
3622,878,10,438,0
37185,1235,11,316,0
8840,924,8,349,0
31316,937,9,263,0
25541,981,8,245,0
17764,756,8,368,0
38589,1195,9,247,0
31512,1048,9,424,0
7040,1167,11,456,0
17364,982,10,242,0
31314,1123,10,327,0
15545,969,10,240,0
18030,962,9,264,0
33893,1149,10,455,0
24324,1230,12,247,0
35604,1220,13,384,0
15215,968,10,365,0
30455,1300,10,437,0
28216,1136,13,283,0
13923,932,10,231,0
22219,960,10,291,0
23610,957,9,502,0
26400,966,10,436,0
12494,1294,14,337,0
7767,944,10,425,0
5258,1162,12,313,0
32773,874,9,278,0
7564,932,7,324,0
16850,1166,11,452,0
15092,1057,7,423,0
32239,1045,11,406,0
18337,1033,12,268,0
2989,1088,8,218,0
26690,817,10,315,0
37461,788,8,302,0
23123,908,8,234,0
13566,858,8,422,0
33536,982,8,342,0
23672,1284,11,326,0
39866,975,10,513,0
16573,1076,12,305,0
5477,966,11,232,0
3187,730,9,260,0
38622,995,9,304,0
16133,1341,12,275,0
16349,1252,10,303,0
10566,868,8,322,0
28709,1015,11,457,0
32624,906,11,366,0
12232,736,8,329,0
32071,660,11,494,0
19325,1323,13,439,0
37521,1404,10,471,0
36824,991,9,253,0
26905,880,9,494,0
39236,1292,11,363,0
4607,1377,13,317,0
33458,923,9,305,0
35166,959,10,506,0
17424,1011,9,444,0
35792,1106,13,448,0
510,1166,9,352,0
14198,746,11,237,0
13767,1269,11,497,0
22731,726,8,291,0
21045,985,8,218,0
24767,903,9,402,0
11647,677,10,240,0
32030,968,11,250,0
17881,1117,11,467,0
4553,1252,12,240,0
1029,922,9,278,0
11073,993,7,286,0
3245,1080,14,266,0
19504,1093,10,506,0
30884,1006,9,432,0
39405,1091,12,341,0
17709,1085,11,390,0
5984,935,10,229,0
26307,1003,8,299,0
29187,929,11,435,0
25902,962,10,237,0
7765,811,9,298,0
18413,1034,9,479,0
32991,875,9,359,0
2209,1054,11,289,0
38834,866,8,287,0
31468,821,8,299,0
28870,847,8,416,0
4133,877,8,243,0
20060,1009,11,286,0
1053,1237,12,281,0
18042,1015,14,319,0
35377,823,9,270,0
16927,1006,10,227,0
3413,849,8,283,0
15576,882,11,264,0
26155,892,10,232,0
25131,797,8,404,0
29155,794,11,288,0
